ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.194,1.92289,8.28745,-0.24482,0.96085,9.75639,0.20645,0.01875,-0.23578,-48.894,5.505,9.781,84.102,-4.852,1.326,5.0,40.4136,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,9,2021-01-13 15:18:16:054
-0.37124,1.91092,7.72461,-0.20862,1.16569,9.73489,-0.06208,-0.10861,-0.2611,-48.071,4.111,9.77,86.752,-6.438,1.555,5.0,40.4136,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,110,2021-01-13 15:18:16:155
-0.44788,1.44627,9.47541,-0.09885,0.89302,9.76541,-0.3249,-0.13015,-0.11727,-48.449,3.674,10.308,86.685,-6.407,0.954,5.0,40.4136,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,209,2021-01-13 15:18:16:254
-0.17484,1.06545,11.24058,-0.10564,0.64636,9.78476,-0.42868,0.11768,0.35919,-49.397,5.885,10.955,83.896,-3.779,0.619,5.0,39.4408,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,310,2021-01-13 15:18:16:355
0.36884,-0.48656,13.31472,-0.11475,0.15136,9.80481,-0.46469,-0.09542,0.43285,-51.068,7.862,9.597,81.561,-2.388,0.991,5.0,39.4408,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,410,2021-01-13 15:18:16:455
-0.37842,-0.18718,10.75917,0.03948,0.23348,9.80379,0.67641,-0.09826,0.26915,-50.25,12.292,8.885,77.801,0.156,0.035,5.0,39.4408,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,510,2021-01-13 15:18:16:555
-0.28501,0.25112,8.57486,0.1066,0.7971,9.77362,1.02888,-0.17257,0.04846,-50.631,13.316,11.045,75.987,-1.364,-0.231,5.0,40.6206,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,609,2021-01-13 15:18:16:654
0.02156,1.01995,6.8025,0.22241,1.34087,9.712,-0.01606,0.30873,0.03329,-49.75,13.143,10.951,76.962,-7.428,-1.539,5.0,40.6206,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,709,2021-01-13 15:18:16:754
-0.85744,2.05702,6.05284,-0.00381,1.36939,9.71057,0.05916,0.13699,-0.01599,-48.598,15.117,7.874,74.287,-7.835,-0.204,5.0,40.6206,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,809,2021-01-13 15:18:16:854
-0.28022,1.07982,11.25496,0.01968,1.12505,9.74188,-1.01593,0.10032,0.0532,-48.925,14.678,7.544,74.342,-8.027,0.022,5.0,39.9079,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,909,2021-01-13 15:18:16:954
-0.52452,1.0415,12.4022,-0.02672,0.17055,9.80513,-0.59315,-0.05022,-0.00681,-48.099,16.723,7.335,70.936,-3.16,0.264,5.0,39.9079,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1010,2021-01-13 15:18:17:055
0.39758,-1.70805,13.71949,0.05852,0.15166,9.8053,-0.13101,-0.13451,-0.02908,-48.295,16.662,5.875,70.596,-0.844,-0.115,5.0,39.9079,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1110,2021-01-13 15:18:17:155
0.64907,-1.27454,10.46458,0.18144,-0.00128,9.80497,0.08524,-0.06634,-0.00462,-45.247,17.98,7.994,68.353,-0.886,-0.342,5.0,39.9079,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1209,2021-01-13 15:18:17:254
0.57482,0.49782,7.70066,0.20944,1.1923,9.73165,0.68854,-0.00745,-0.19822,-45.255,18.802,6.244,67.449,-2.757,-0.735,5.0,40.9995,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1309,2021-01-13 15:18:17:354
-0.3425,1.55884,7.15937,0.03986,1.41809,9.7035,0.06291,0.15845,-0.32965,-42.661,16.547,3.516,69.201,-8.183,-0.918,5.0,40.9995,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1409,2021-01-13 15:18:17:454
1.07539,1.93247,6.62527,0.02925,1.45058,9.69873,-0.1523,0.06624,-0.01581,-42.147,16.585,3.021,68.661,-8.314,-0.235,5.0,40.9995,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1509,2021-01-13 15:18:17:554
-0.56524,1.90373,9.76522,-0.40383,1.12413,9.73364,-0.44491,0.57173,-0.13743,-41.697,13.968,0.619,71.91,-8.066,0.017,5.0,39.9928,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1609,2021-01-13 15:18:17:654
-0.06227,1.14928,13.18539,-0.18619,0.71017,9.77913,-0.66101,0.15559,0.35592,-40.279,15.878,0.827,68.516,-5.833,1.173,5.0,39.9928,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1709,2021-01-13 15:18:17:754
-0.74727,-1.22664,14.75656,-0.19749,0.40295,9.79638,-0.41214,-0.3142,0.15067,-39.468,17.261,0.745,66.645,-4.153,1.091,5.0,39.9928,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1809,2021-01-13 15:18:17:854
0.0958,-0.97995,10.76396,0.36692,0.65921,9.77759,0.34103,-0.22121,0.05974,-38.789,16.641,2.296,66.524,-1.798,-1.021,5.0,40.8271,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1908,2021-01-13 15:18:17:953
0.13173,-0.25424,8.0216,0.37963,0.93329,9.75476,0.26393,0.04134,0.00177,-35.777,15.823,0.439,65.916,-4.252,-2.568,5.0,40.8271,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2009,2021-01-13 15:18:18:054
-0.07185,1.68817,6.29474,0.32169,1.47531,9.6897,0.59537,0.21055,0.01904,-35.162,14.064,0.182,68.091,-5.461,-2.229,5.0,40.8271,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2109,2021-01-13 15:18:18:154
-0.14131,2.0666,7.10668,0.06443,1.80203,9.63945,-0.03882,0.20482,-0.08295,-35.759,13.313,0.044,70.266,-10.687,-1.176,5.0,40.0939,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2209,2021-01-13 15:18:18:254
