ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.0933,1.24987,9.71731,-0.33001,0.66514,9.7785,-0.00155,-0.0088,0.10857,-29.678,-4.806,-8.912,98.394,-3.707,1.603,5.0,45.5174,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,16,2021-01-14 15:37:11:771
-3.06331,0.71577,9.99993,-0.34153,0.7951,9.7684,0.00196,-0.00335,0.71255,-30.102,-3.979,-9.399,96.431,-4.14,1.964,5.0,45.5791,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,116,2021-01-14 15:37:11:871
-2.17952,0.52895,10.24184,-0.38235,0.77427,9.76856,-0.07671,0.06942,1.18551,-28.414,-1.917,-9.05,92.718,-4.651,2.002,5.0,45.5791,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,216,2021-01-14 15:37:11:971
-1.86098,1.01037,8.7018,-0.38357,0.92666,9.75523,0.15277,0.11928,1.53689,-29.466,3.507,-10.841,80.516,-5.422,2.252,5.0,45.5791,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,315,2021-01-14 15:37:12:070
-0.9245,0.52895,9.53768,-0.47397,1.00119,9.74389,-0.13977,0.28578,1.62627,-28.579,7.41,-9.304,75.123,-6.1,2.284,5.0,46.6328,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,416,2021-01-14 15:37:12:171
0.07904,1.01037,9.15208,-0.70461,0.93955,9.73608,-0.13536,0.36489,1.41067,-26.65,14.258,-13.198,61.548,-5.59,3.523,5.0,46.6328,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,515,2021-01-14 15:37:12:270
0.33531,1.11335,8.8479,-0.82653,0.90718,9.72956,-0.05946,0.22023,1.08565,-25.007,14.219,-13.214,59.889,-5.498,4.139,5.0,46.6328,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,616,2021-01-14 15:37:12:371
1.28137,0.38764,9.93048,-0.7305,0.92312,9.73574,-0.18184,-0.08067,0.55217,-22.433,17.072,-12.656,51.853,-5.793,4.602,5.0,46.5243,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,715,2021-01-14 15:37:12:470
1.01072,-0.33327,13.02732,-0.45066,0.59646,9.77811,-0.32488,-0.20588,0.00868,-21.758,18.576,-13.438,48.908,-5.401,4.291,5.0,46.5243,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,815,2021-01-14 15:37:12:570
-0.31615,-0.10335,11.22861,-0.50871,0.4917,9.7811,0.01705,0.06367,-0.50033,-21.966,18.679,-13.311,49.167,-2.874,2.977,5.0,46.5243,22.999899,120.21971,42.6,NaN,,20.4,,0 / 0,916,2021-01-14 15:37:12:671
