ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.10059,2.73722,7.70545,-0.36171,1.62581,9.66418,0.24829,-0.01642,-0.26333,-49.012,5.256,4.903,85.547,-9.543,2.143,5.0,40.2076,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,8,2021-01-13 15:21:29:810
-0.37363,2.48334,7.6312,-0.37607,1.74287,9.6432,0.03541,-0.08252,-0.33314,-49.938,4.278,5.221,86.892,-10.237,2.233,5.0,40.2076,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,109,2021-01-13 15:21:29:911
-0.37363,2.5049,8.51738,-0.24824,1.81138,9.63471,-0.23053,-0.01004,0.06087,-49.718,2.889,6.236,88.158,-10.644,1.476,5.0,40.2076,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,209,2021-01-13 15:21:30:011
-1.22868,1.94684,12.71595,-0.21203,1.42214,9.70067,-0.52868,-0.06049,0.10011,-49.701,3.587,4.813,86.473,-8.338,1.252,5.0,40.87,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,308,2021-01-13 15:21:30:110
0.52452,0.5553,13.81769,0.02924,1.1321,9.74104,-0.32563,-0.3343,0.44784,-49.498,8.382,4.998,81.671,-7.619,0.931,5.0,40.87,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,409,2021-01-13 15:21:30:211
-0.18203,0.59362,11.94235,0.20633,1.06182,9.74681,0.29418,-0.07717,0.37482,-50.5,10.262,5.349,79.449,-6.216,-1.213,5.0,40.87,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,508,2021-01-13 15:21:30:310
-0.07425,0.92175,9.03951,0.25105,1.83952,9.62931,0.84233,-0.01262,0.18814,-49.3,12.774,4.831,75.898,-8.052,-1.375,5.0,40.5531,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,608,2021-01-13 15:21:30:410
-0.23711,1.5301,6.55341,0.17454,2.05313,9.58773,0.45589,0.36979,0.05899,-48.33,12.911,4.495,75.704,-10.812,-1.493,5.0,40.5531,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,709,2021-01-13 15:21:30:511
-0.32334,3.02702,3.79428,-0.09542,2.63475,9.4456,0.54056,0.14385,0.23417,-44.836,14.203,0.611,73.771,-15.585,0.579,5.0,40.5531,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,808,2021-01-13 15:21:30:610
0.17963,1.35047,11.50165,0.33652,1.82473,9.62951,-1.18209,-0.07747,0.07891,-44.836,14.203,0.611,73.771,-15.585,0.579,5.0,40.5531,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,908,2021-01-13 15:21:30:710
0.60116,1.71931,13.47759,0.23687,1.15157,9.73592,-0.98454,0.30538,0.16235,-42.514,17.094,0.38,68.417,-6.744,-1.394,5.0,39.112,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1008,2021-01-13 15:21:30:810
0.87181,-1.06856,14.9817,0.23419,0.89123,9.76326,-0.03285,-0.24702,-0.46481,-42.514,17.094,0.38,68.417,-6.744,-1.394,5.0,39.112,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1108,2021-01-13 15:21:30:910
-0.09341,-1.03982,11.05616,0.18888,0.95335,9.75837,0.00678,0.05185,-0.43275,-41.13,13.851,0.234,71.13,-5.579,-1.109,5.0,39.112,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1208,2021-01-13 15:21:31:010
0.55326,1.19718,6.96537,0.08555,1.53045,9.68611,0.77361,0.23189,-0.03666,-41.434,12.052,-1.073,73.598,-8.978,-0.506,5.0,40.1135,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1308,2021-01-13 15:21:31:110
-0.74008,2.10492,5.75106,-0.18068,2.21875,9.55065,0.50984,0.17434,-0.28342,-39.669,11.389,-3.915,74.054,-13.076,1.084,5.0,40.1135,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1408,2021-01-13 15:21:31:210
0.06946,2.65818,7.23841,-0.41684,2.31937,9.51931,-0.26809,0.067,0.19736,-38.713,9.391,-4.366,76.652,-13.681,2.507,5.0,40.1135,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1510,2021-01-13 15:21:31:312
0.26346,2.07618,11.06335,-0.36645,2.05111,9.58275,-0.56423,-0.00908,0.27517,-38.84,11.549,-5.439,72.34,-12.073,2.19,5.0,39.9726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1608,2021-01-13 15:21:31:410
1.05623,1.34807,14.23443,-0.48961,1.50501,9.6781,-0.56066,0.24558,0.42809,-36.745,13.463,-6.048,70.11,-8.828,2.896,5.0,39.9726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1708,2021-01-13 15:21:31:510
-0.71852,-0.15125,14.23443,-0.2683,0.64865,9.7815,-0.9015,-0.32061,-0.04873,-35.623,11.758,-5.587,71.202,-3.793,1.571,5.0,39.9726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1808,2021-01-13 15:21:31:610
-0.93408,-0.25663,10.14124,-0.26513,0.99124,9.75282,0.72043,-0.26896,-0.05272,-35.385,10.694,-5.875,71.952,-5.801,1.557,5.0,39.4726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1908,2021-01-13 15:21:31:710
-0.74727,0.71338,6.266,-0.15244,1.68356,9.65985,0.59753,0.04291,0.08019,-34.198,8.118,-7.362,75.232,-9.885,0.904,5.0,39.4726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2009,2021-01-13 15:21:31:811
-0.47662,2.59112,6.12709,-0.29158,2.46,9.48861,0.2057,0.17623,0.21913,-34.52,7.624,-8.367,74.938,-14.528,1.76,5.0,39.4726,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2108,2021-01-13 15:21:31:910
-0.40716,1.58039,9.41074,-0.37085,1.80551,9.63187,-0.79388,-0.23852,-0.23811,-33.738,9.439,-8.51,73.016,-13.205,2.403,5.0,38.9073,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2208,2021-01-13 15:21:32:010
-0.66583,0.52416,12.90756,-0.23807,1.41057,9.70175,-0.8066,-0.17812,-0.15944,-34.024,7.817,-6.419,75.766,-8.27,1.406,5.0,38.9073,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2307,2021-01-13 15:21:32:109
0.80235,-0.86498,14.82602,-0.12993,0.48246,9.79391,-0.74175,-0.09707,-0.05749,-33.146,7.085,-6.334,77.612,-2.82,0.76,5.0,38.9073,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2408,2021-01-13 15:21:32:210
0.7305,-0.03628,10.36159,-0.1077,0.71229,9.78016,0.70381,0.10311,-0.25503,-32.872,6.19,-7.449,79.396,-1.535,0.186,5.0,38.9073,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2508,2021-01-13 15:21:32:310
-0.15808,1.36244,6.11032,-0.13768,1.30615,9.7183,0.96845,0.07915,-0.40344,-32.487,3.014,-6.609,83.168,-7.654,0.812,5.0,39.2869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2608,2021-01-13 15:21:32:410
-0.05509,2.3085,4.3188,-0.36776,2.31677,9.52196,0.67998,0.2647,-0.26633,-32.303,1.081,-8.117,85.451,-13.665,2.212,5.0,39.2869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2710,2021-01-13 15:21:32:512
-0.77361,2.19353,6.80969,-0.57805,2.40715,9.48904,-0.17458,0.29006,-0.08705,-32.065,1.361,-9.844,84.835,-14.209,3.486,5.0,39.2869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2808,2021-01-13 15:21:32:610
-0.11975,1.94924,9.65983,-0.51577,1.75338,9.63483,-0.65382,-0.29889,0.09056,-32.211,-0.939,-7.993,89.755,-10.3,3.064,5.0,39.7061,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2908,2021-01-13 15:21:32:710
-0.21556,0.93133,12.51716,-0.43794,0.7514,9.76801,-0.97181,0.00779,0.22859,-32.422,1.596,-10.218,85.327,-4.394,2.567,5.0,39.7061,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3008,2021-01-13 15:21:32:810
-1.05384,-1.3416,14.23204,-0.33388,-0.08403,9.80061,-0.28109,-0.28713,0.02207,-33.041,2.55,-10.546,84.855,-0.128,3.083,5.0,39.7061,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3109,2021-01-13 15:21:32:911
-0.74487,-0.06742,9.27422,-0.32762,0.43361,9.79158,0.76786,-0.05774,0.25738,-31.423,0.846,-10.735,87.371,-2.534,1.916,5.0,40.344,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3208,2021-01-13 15:21:33:010
-0.27064,0.54332,7.48749,-0.28564,1.2388,9.7239,0.60803,0.00276,0.1521,-32.483,0.612,-10.545,85.995,-7.257,1.683,5.0,40.344,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3308,2021-01-13 15:21:33:110
-0.97001,2.12408,5.56185,-0.46335,1.84512,9.62036,0.45113,0.16342,-0.00948,-30.071,-1.419,-10.372,89.209,-9.037,1.991,5.0,40.344,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3408,2021-01-13 15:21:33:210
-0.12694,1.8702,6.75939,-0.54953,1.99374,9.58611,-0.10229,0.13508,-0.03479,-31.373,-1.695,-10.781,90.156,-11.73,3.281,5.0,37.5041,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3510,2021-01-13 15:21:33:312
