ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.51015,2.26778,7.64557,-0.58306,1.15539,9.72088,-0.01261,0.13695,0.00868,-48.961,6.998,8.379,83.329,-6.766,3.433,5.0,39.4572,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,10,2021-01-13 15:15:15:029
-0.36405,2.02588,9.34847,-0.55538,1.01001,9.73868,-0.1791,-0.05759,0.03793,-50.515,7.703,6.209,82.264,-6.672,3.781,5.0,39.4572,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,109,2021-01-13 15:15:15:128
-0.29699,1.05587,11.2334,-0.41898,0.74027,9.76969,-0.38302,-0.20969,0.13363,-51.615,10.131,8.31,79.893,-4.329,2.456,5.0,39.4572,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,210,2021-01-13 15:15:15:229
0.4383,0.13616,13.0824,-0.12733,0.41127,9.79719,-0.24418,-0.26789,0.34569,-52.087,11.921,9.409,77.413,-2.404,0.745,5.0,41.1208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,309,2021-01-13 15:15:15:328
-0.06706,0.05473,10.56517,0.23424,0.43593,9.79416,0.50666,-0.0698,0.20027,-50.481,14.945,9.44,73.604,-1.733,-0.469,5.0,41.1208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,409,2021-01-13 15:15:15:428
-0.50536,1.12293,7.22164,0.077,1.16187,9.73728,1.44686,0.21428,0.15525,-47.104,16.089,8.658,72.473,-6.804,-0.453,5.0,41.1208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,509,2021-01-13 15:15:15:528
-0.71134,2.0642,6.04805,0.13502,2.28696,9.5353,0.27633,0.07883,0.0201,-47.709,17.132,5.93,72.358,-13.486,-0.811,5.0,42.7969,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,609,2021-01-13 15:15:15:628
-0.26106,2.39233,7.06596,-0.01559,2.07185,9.58528,-0.30179,0.16615,0.21439,-46.719,17.96,5.652,71.057,-13.582,-0.278,5.0,42.7969,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,709,2021-01-13 15:15:15:728
-0.25867,1.01037,11.88247,-0.04126,1.62595,9.67083,-0.94082,-0.03365,-0.00529,-45.872,19.464,5.774,68.933,-9.544,0.244,5.0,42.7969,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,811,2021-01-13 15:15:15:830
-0.05269,1.48938,12.58662,0.04313,0.8431,9.77025,-0.41892,-0.10665,-0.01731,-43.855,20.01,5.069,66.094,-4.932,-0.253,5.0,40.1014,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,909,2021-01-13 15:15:15:928
1.02988,-1.0015,13.98535,0.16499,0.5475,9.78996,-0.50288,-0.17875,-0.22288,-43.058,19.545,5.536,65.63,-4.46,-0.487,5.0,40.1014,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1009,2021-01-13 15:15:16:028
0.94127,0.5553,8.42397,0.11574,0.42895,9.79658,0.36497,0.16895,-0.29865,-42.022,19.44,4.357,65.876,-2.507,-0.677,5.0,40.1014,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1109,2021-01-13 15:15:16:128
0.36645,0.9912,8.21081,0.16111,1.49245,9.69108,0.38207,0.2769,-0.31038,-41.973,16.302,3.914,69.997,-8.754,-0.952,5.0,38.9128,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1209,2021-01-13 15:15:16:228
0.13652,2.37556,4.52239,-0.20289,2.161,9.56344,0.72172,0.3036,-0.21088,-40.644,14.645,0.324,70.289,-10.058,0.651,5.0,38.9128,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1309,2021-01-13 15:15:16:328
0.25627,1.32652,9.77001,-0.07537,2.16643,9.56406,-1.25654,-0.06014,-0.00153,-39.588,15.349,0.638,70.275,-12.763,0.452,5.0,38.9128,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1409,2021-01-13 15:15:16:428
0.20837,1.02234,13.28598,0.05317,0.79082,9.77457,-1.02797,-0.15114,0.03902,-39.735,15.84,1.32,68.343,-4.625,-0.312,5.0,38.9128,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1509,2021-01-13 15:15:16:528
1.24305,0.7493,13.30994,0.07765,0.68081,9.78268,-0.00341,-0.00852,0.16878,-40.047,16.104,-0.396,68.192,-3.606,-0.804,5.0,40.9521,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1609,2021-01-13 15:15:16:628
-0.28981,0.27029,9.91611,0.26969,0.52696,9.78877,-0.0532,-0.23329,-0.22804,-38.408,14.542,0.729,68.491,-3.08,-1.578,5.0,40.9521,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1709,2021-01-13 15:15:16:728
-0.50776,0.30621,8.76886,0.2333,1.39492,9.70413,0.77017,0.00915,0.07817,-36.734,14.351,-0.158,69.29,-8.178,-1.377,5.0,40.9521,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1809,2021-01-13 15:15:16:828
-0.48141,2.03785,5.878,0.15619,2.29987,9.53187,0.89755,0.10382,0.24251,-35.352,14.018,-0.683,68.058,-10.748,-1.286,5.0,39.4395,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,1911,2021-01-13 15:15:16:930
-0.11496,2.34442,6.57497,-0.04137,2.46647,9.49132,-0.09356,0.24832,0.08912,-34.754,12.351,-1.296,71.331,-14.567,0.25,5.0,39.4395,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2009,2021-01-13 15:15:17:028
-0.33052,1.81511,9.9209,-0.26011,2.20078,9.55297,-0.38961,0.14318,-0.06292,-34.159,13.885,-4.228,67.2,-12.969,1.56,5.0,39.4395,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2110,2021-01-13 15:15:17:129
-0.91971,1.88457,12.9842,-0.07681,1.65816,9.66514,-0.59338,-0.1445,-0.09704,-34.801,10.13,-3.104,73.674,-11.421,1.067,5.0,40.4256,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2210,2021-01-13 15:15:17:229
0.13412,0.21999,12.96265,-0.04034,1.1651,9.73711,-0.88168,-0.1759,-0.01539,-34.15,11.931,-2.91,70.186,-6.823,0.237,5.0,40.4256,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2309,2021-01-13 15:15:17:328
1.20472,1.60195,8.73533,-0.03276,1.50308,9.69072,1.0268,0.0411,-0.03194,-34.558,9.725,-4.602,73.113,-8.817,0.194,5.0,40.4256,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2409,2021-01-13 15:15:17:428
-0.69218,1.76242,6.86717,-0.11518,2.24076,9.54652,0.53284,0.02631,-0.42401,-34.177,9.541,-2.713,73.046,-11.527,0.247,5.0,39.7208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2512,2021-01-13 15:15:17:531
0.09341,2.37556,5.49958,-0.21427,2.50323,9.47936,0.25144,0.07535,0.02832,-32.452,5.904,-4.141,78.311,-14.789,1.295,5.0,39.7208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2610,2021-01-13 15:15:17:629
0.55087,2.0666,9.87779,-0.34065,2.43109,9.49443,-0.43137,0.1882,0.15164,-32.498,5.332,-4.859,79.779,-14.353,2.055,5.0,39.7208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2710,2021-01-13 15:15:17:729
-0.42153,2.51208,11.49207,-0.13812,1.71137,9.65518,-0.49223,-0.10934,0.21428,-32.696,6.23,-3.576,78.879,-11.671,1.539,5.0,39.7208,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2811,2021-01-13 15:15:17:830
0.35926,-0.29016,15.57808,-0.10972,1.32249,9.71645,-0.95328,-0.10802,0.1965,-33.11,7.419,-5.893,76.9,-7.75,0.647,5.0,39.2509,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,2909,2021-01-13 15:15:17:928
-0.16766,1.0439,8.6036,0.09962,0.89091,9.76559,1.05637,0.09206,0.14201,-32.413,5.893,-5.777,78.41,-5.212,-0.584,5.0,39.2509,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3009,2021-01-13 15:15:18:028
-0.72092,0.78283,7.64078,0.1896,1.88898,9.62113,0.74682,-0.23224,-0.20001,-31.848,4.309,-5.064,81.473,-8.98,-0.66,5.0,39.2509,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3109,2021-01-13 15:15:18:128
-1.09455,1.32652,6.43845,0.10087,2.13369,9.57118,0.2355,0.2751,0.05377,-31.827,2.999,-4.337,83.092,-12.567,-0.604,5.0,41.8615,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3208,2021-01-13 15:15:18:227
-0.14131,2.22467,7.53061,-0.12615,2.25113,9.54395,-0.02636,0.12957,0.26775,-31.737,4.37,-6.636,80.443,-13.271,0.757,5.0,41.8615,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3310,2021-01-13 15:15:18:329
-0.30657,1.92768,11.16155,-0.05622,1.50504,9.69031,-0.74168,-0.05531,-0.01096,-31.736,5.571,-6.908,77.317,-11.729,0.687,5.0,41.8615,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3409,2021-01-13 15:15:18:428
0.5844,0.52895,13.06324,-0.02077,1.36133,9.71168,-0.28553,-0.17065,-0.12302,-33.737,3.885,-4.864,82.223,-7.979,0.123,5.0,39.4832,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3509,2021-01-13 15:15:18:528
0.80714,-0.83864,14.76135,0.29515,0.62397,9.78233,-0.25092,-0.18507,-0.17973,-31.662,2.569,-4.848,83.951,-3.648,-1.728,5.0,39.4832,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3610,2021-01-13 15:15:18:629
0.96043,0.73254,9.0443,0.10947,1.38235,9.70812,1.05828,0.29252,0.08113,-30.443,1.658,-4.796,85.324,-4.518,-1.361,5.0,39.4832,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3709,2021-01-13 15:15:18:728
-0.31136,1.27861,5.83968,-0.08379,1.72419,9.65352,0.68235,0.39391,-0.34878,-31.004,-1.384,-6.22,89.957,-10.126,0.497,5.0,39.3472,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3809,2021-01-13 15:15:18:828
-0.50297,3.05576,5.64568,-0.46482,2.33008,9.51447,0.35596,0.16735,-0.14511,-28.959,-0.652,-5.065,90.237,-13.745,2.797,5.0,39.3472,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,3909,2021-01-13 15:15:18:928
0.36645,1.49178,8.62276,-0.59115,1.85254,9.61192,-0.87566,-0.07001,0.08041,-30.197,-0.994,-6.324,90.003,-13.277,3.36,5.0,39.3472,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4009,2021-01-13 15:15:19:028
-0.88858,1.91571,14.79488,-0.38537,1.21122,9.72393,-1.14255,-0.2343,0.07744,-31.538,-1.436,-7.195,90.506,-7.095,2.27,5.0,39.3472,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4110,2021-01-13 15:15:19:129
1.24065,1.01516,14.96254,-0.27183,0.84429,9.76646,0.05991,-0.22758,0.46403,-32.339,-0.857,-5.962,90.992,-4.939,1.594,5.0,39.1869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4210,2021-01-13 15:15:19:229
-1.35801,0.81157,6.63964,-0.03982,1.55257,9.68289,0.82853,-0.13036,0.06795,-32.976,0.879,-5.484,87.541,-5.291,0.698,5.0,39.1869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4309,2021-01-13 15:15:19:328
-0.63709,0.87864,7.60964,0.06735,2.08138,9.58299,0.06015,0.06663,0.20269,-32.615,-0.971,-4.132,90.137,-12.254,-0.403,5.0,39.1869,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4408,2021-01-13 15:15:19:427
-0.91013,2.2606,5.58101,-0.09533,2.20271,9.55559,0.24421,0.24799,0.23557,-31.985,-0.522,-6.371,89.461,-12.98,0.572,5.0,40.5866,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4509,2021-01-13 15:15:19:528
0.09341,2.15761,9.31734,-0.31589,1.95281,9.60506,-0.87729,0.26535,0.19668,-33.029,0.52,-3.816,86.959,-13.509,1.11,5.0,40.5866,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4609,2021-01-13 15:15:19:628
-0.46944,1.23311,12.14113,-0.48511,1.25164,9.71434,-1.11296,0.1969,-0.08476,-31.747,0.443,-7.148,88.779,-7.333,2.859,5.0,40.5866,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4709,2021-01-13 15:15:19:728
0.63709,0.55769,13.76021,-0.32352,0.93954,9.75618,-0.04443,-0.12609,-0.19751,-30.965,-0.817,-6.861,90.777,-5.498,1.899,5.0,41.0952,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4809,2021-01-13 15:15:19:828
-0.51494,-0.25424,11.2334,-0.27345,0.72012,9.77635,-0.3338,-0.05704,-0.28668,-34.055,-2.529,-5.558,94.337,-4.477,1.439,5.0,41.0952,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,4909,2021-01-13 15:15:19:928
0.02874,0.75888,9.02993,-0.11025,1.3638,9.71073,0.80338,-0.32162,-0.47398,-32.225,-4.79,-4.671,97.652,-7.994,0.65,5.0,41.0952,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5009,2021-01-13 15:15:20:028
-0.49339,2.0666,4.81219,-0.12181,2.29064,9.5346,0.91532,0.18439,-0.42608,-30.137,-6.298,-2.177,100.301,-13.508,0.732,5.0,40.6707,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5109,2021-01-13 15:15:20:128
-0.67062,2.05222,7.05638,-0.41551,2.56608,9.45584,-0.49997,0.27436,-0.04951,-29.763,-9.211,-1.888,105.497,-16.025,1.604,5.0,40.6707,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5209,2021-01-13 15:15:20:228
-0.05269,1.63548,10.58912,-0.53128,2.12545,9.5588,-0.81427,0.00368,0.20103,-29.801,-8.835,-2.276,106.164,-12.517,3.181,5.0,40.6707,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5309,2021-01-13 15:15:20:328
0.26585,2.3085,13.72668,-0.20237,1.48252,9.69183,-0.25247,0.0502,0.61326,-33.198,-5.554,-5.045,99.063,-8.695,1.196,5.0,40.6707,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5409,2021-01-13 15:15:20:428
0.27304,1.01516,12.25849,0.02195,1.27461,9.72344,-0.2442,-0.20915,0.46316,-33.965,-3.973,-3.901,95.886,-7.852,1.191,5.0,39.2242,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5509,2021-01-13 15:15:20:528
-0.15808,1.89175,8.07189,0.22243,1.72316,9.65151,0.92865,-0.03677,0.15675,-33.017,-5.05,-2.44,97.671,-10.12,-1.32,5.0,39.2242,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5609,2021-01-13 15:15:20:628
-0.91013,1.66183,6.43605,0.25823,2.46036,9.48949,0.37491,-0.04463,-0.17827,-33.585,-3.822,-1.583,95.284,-14.53,-1.559,5.0,39.2242,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5709,2021-01-13 15:15:20:728
-0.6347,2.83063,6.93902,0.03709,2.67138,9.43572,-0.13311,0.13979,0.05564,-34.055,-6.393,-2.111,98.57,-15.622,-0.755,5.0,40.6849,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5809,2021-01-13 15:15:20:828
-0.30897,2.70129,8.85509,-0.05022,2.44755,9.49618,-0.4955,0.0604,-0.08419,-34.11,-4.54,-1.226,97.765,-14.453,0.303,5.0,40.6849,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,5909,2021-01-13 15:15:20:928
-0.4862,2.37077,11.50884,-0.03321,1.92597,9.61561,-0.59575,0.07722,-0.13016,-32.029,-6.307,-4.157,99.085,-11.326,0.198,5.0,40.6849,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6009,2021-01-13 15:15:21:028
0.05509,1.27622,13.65722,-0.04593,1.55906,9.68182,-0.20836,-0.03532,-0.06363,-33.163,-5.664,-4.268,99.137,-9.489,0.582,5.0,40.0511,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6109,2021-01-13 15:15:21:128
0.43351,0.87864,10.04544,0.13925,1.46729,9.69526,0.37212,0.13874,-0.0602,-33.69,-6.795,-2.068,100.913,-8.605,-0.823,5.0,40.0511,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6209,2021-01-13 15:15:21:228
0.6802,1.76003,7.4827,0.03291,2.17298,9.56282,0.90659,0.02985,0.01524,-33.284,-7.513,-2.001,102.531,-12.802,-0.197,5.0,40.0511,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6310,2021-01-13 15:15:21:329
-0.22274,2.38275,5.72232,-0.04476,2.58688,9.4592,0.15384,0.1223,-0.2502,-34.477,-9.455,-1.407,103.895,-14.594,-0.324,5.0,39.5817,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6409,2021-01-13 15:15:21:428
-0.02395,2.65339,7.03722,-0.07763,2.59842,9.45582,-0.18473,-0.07714,-0.09556,-34.509,-10.146,-2.67,104.295,-15.365,0.47,5.0,39.5817,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6510,2021-01-13 15:15:21:529
0.02635,2.2103,11.39147,-0.00946,1.79926,9.64018,-0.71584,0.03482,0.12035,-35.392,-9.58,-3.25,104.858,-10.572,0.056,5.0,39.5817,22.9999,120.21971,42.6,NaN,,21.6,,0 / 0,6609,2021-01-13 15:15:21:628
